iter	MAE
0	6253.155056
1	5538.631306
2	4914.60624
3	4400.257057
4	3964.244158
5	3577.418439
6	3266.712195
7	2993.848363
8	2748.00224
9	2551.545942
10	2368.28342
11	2215.888986
12	2082.805015
13	1983.15751
14	1883.475485
15	1803.140473
16	1731.069334
17	1667.107797
18	1619.167721
19	1567.376226
20	1524.144404
21	1489.100122
22	1457.522328
23	1430.37028
24	1408.133898
25	1389.960043
26	1372.863695
27	1358.084718
28	1342.746068
29	1330.632595
30	1320.56351
31	1309.555993
32	1305.432589
33	1300.269564
34	1294.371371
35	1291.638167
36	1287.260863
37	1282.838086
38	1281.273288
39	1278.247391
40	1276.250594
41	1272.990895
42	1270.520924
43	1266.230307
44	1261.537045
45	1260.378563
46	1257.338998
47	1253.340632
48	1252.792785
49	1249.271224
50	1247.893946
51	1246.42323
52	1244.653483
53	1243.021861
54	1239.598715
55	1237.789317
56	1236.861426
57	1235.856973
58	1234.548475
59	1232.375852
60	1229.33641
61	1227.558185
62	1225.484805
63	1224.664294
64	1223.633797
65	1222.421076
66	1221.684439
67	1219.211432
68	1216.366365
69	1213.904194
70	1213.584071
71	1212.534794
72	1211.686274
73	1210.609222
74	1210.010459
75	1208.768209
76	1207.216011
77	1205.7879
78	1204.486861
79	1203.761485
80	1203.500914
81	1202.632849
82	1201.470833
83	1200.772405
84	1200.179667
85	1199.520995
86	1198.870963
87	1198.41911
88	1197.49514
89	1196.656369
90	1196.36785
91	1195.841175
92	1195.361208
93	1194.950487
94	1194.621189
95	1194.131353
96	1192.641226
97	1192.048021
98	1191.388383
99	1190.586713
100	1189.83255
101	1189.18591
102	1187.280864
103	1186.94505
104	1185.998267
105	1183.690067
106	1182.953987
107	1182.505123
108	1182.24076
109	1181.315621
110	1180.630929
111	1179.669772
112	1179.125644
113	1178.732505
114	1178.444765
115	1178.005747
116	1177.456915
117	1177.159561
118	1176.851851
119	1176.584051
120	1176.202813
121	1174.978092
122	1174.259608
123	1173.729179
124	1173.478432
125	1172.664192
126	1172.345296
127	1172.06325
128	1171.36874
129	1170.866044
130	1170.24705
131	1169.833159
132	1169.694434
133	1169.107074
134	1168.546645
135	1167.273044
136	1167.059173
137	1166.680823
138	1166.402036
139	1166.103651
140	1165.502384
141	1164.321065
142	1164.24323
143	1164.023137
144	1163.526432
145	1162.754611
146	1162.27071
147	1161.938888
148	1161.019342
149	1160.767219
150	1160.569892
151	1160.314309
152	1160.090799
153	1159.430415
154	1159.157726
155	1158.222868
156	1157.942893
157	1157.797816
158	1157.623355
159	1157.050278
160	1156.403155
161	1155.74707
162	1155.366219
163	1155.260999
164	1154.813052
165	1154.114343
166	1153.886976
167	1152.653175
168	1152.458526
169	1152.246991
170	1151.969083
171	1151.667881
172	1151.441553
173	1151.121467
174	1150.920101
175	1150.377925
176	1149.945731
177	1149.731638
178	1149.131092
179	1148.99323
180	1148.843859
181	1148.015817
182	1147.681825
183	1147.425286
184	1146.617962
185	1146.290176
186	1145.846915
187	1145.601212
188	1145.449445
189	1145.18687
190	1144.980631
191	1144.808337
192	1144.648991
193	1144.564869
194	1143.974694
195	1143.70646
196	1143.336857
197	1143.171075
198	1142.832146
199	1142.391015
200	1142.132019
201	1141.439079
202	1141.161236
203	1140.198791
204	1139.716291
205	1139.523595
206	1139.343959
207	1138.888726
208	1138.628664
209	1138.017918
210	1137.667497
211	1137.590598
212	1137.505635
213	1137.445165
214	1137.295402
215	1137.116304
216	1136.983531
217	1136.627755
218	1136.454167
219	1136.300668
220	1135.964338
221	1135.777982
222	1135.633977
223	1135.368712
224	1134.873839
225	1134.516557
226	1134.342912
227	1134.053144
228	1133.877865
229	1133.604264
230	1133.462141
231	1133.395922
232	1133.169378
233	1132.966714
234	1132.805448
235	1132.695945
236	1132.54804
237	1132.396413
238	1132.266058
239	1131.935484
240	1131.724866
241	1131.549458
242	1131.384534
243	1131.243464
244	1131.131795
245	1131.020471
246	1130.143975
247	1129.96552
248	1129.638846
249	1129.402739
250	1129.135636
251	1128.840646
252	1128.731187
253	1128.564476
254	1128.297635
255	1128.114808
256	1127.882336
257	1127.613682
258	1127.417139
259	1127.248725
260	1127.028048
261	1126.821672
262	1126.458138
263	1126.360101
264	1126.215458
265	1125.985251
266	1125.872335
267	1125.72323
268	1125.404496
269	1125.246506
270	1125.067327
271	1124.983806
272	1124.92323
273	1124.748593
274	1124.46498
275	1124.380292
276	1124.244824
277	1124.052111
278	1123.872301
279	1123.728952
280	1123.664664
281	1123.49501
282	1123.225467
283	1123.013101
284	1122.712683
285	1122.539213
286	1122.30399
287	1122.209769
288	1121.991008
289	1121.788522
290	1121.728694
291	1121.696995
292	1121.611334
293	1121.362602
294	1121.209038
295	1121.090826
296	1120.903252
297	1120.477947
298	1120.225504
299	1119.967918
300	1119.858525
301	1119.691312
302	1119.389285
303	1119.286254
304	1119.174976
305	1118.961424
306	1118.756893
307	1118.529591
308	1118.31316
309	1118.161323
310	1118.088165
311	1118.01234
312	1117.8493
313	1117.723415
314	1117.631365
315	1117.562467
316	1117.439651
317	1117.381014
318	1117.32699
319	1117.205707
320	1117.062865
321	1116.976642
322	1116.818521
323	1116.664295
324	1116.517162
325	1116.249118
326	1116.092027
327	1116.015789
328	1115.931888
329	1115.793705
330	1115.678423
331	1115.549628
332	1115.371263
333	1115.214546
334	1115.068035
335	1114.953694
336	1114.774745
337	1114.697209
338	1114.583277
339	1114.489961
340	1114.251274
341	1114.132698
342	1114.041086
343	1113.920289
344	1113.763201
345	1113.710449
346	1113.637494
347	1113.574429
348	1113.328232
349	1113.201882
350	1113.067974
351	1112.99321
352	1112.789996
353	1112.680839
354	1112.632671
355	1112.431194
356	1112.377857
357	1112.117766
358	1111.90831
359	1111.809333
360	1111.733174
361	1111.634154
362	1111.561266
363	1111.451983
364	1111.263048
365	1111.096953
366	1111.073486
367	1110.95194
368	1110.795985
369	1110.543425
370	1110.384766
371	1110.249329
372	1110.185046
373	1110.114454
374	1110.065847
375	1109.933211
376	1109.742292
377	1109.591891
378	1109.478387
379	1109.351436
380	1109.277771
381	1108.964143
382	1108.874141
383	1108.444753
384	1108.300915
385	1108.249763
386	1108.19902
387	1108.083626
388	1107.884234
389	1107.802713
390	1107.634456
391	1107.461324
392	1107.131094
393	1107.024351
394	1106.876442
395	1106.66078
396	1106.61118
397	1106.561989
398	1106.409321
399	1106.291897
400	1106.186915
401	1106.087787
402	1106.014084
403	1105.963281
404	1105.938167
405	1105.917036
406	1105.806299
407	1105.72111
408	1105.573728
409	1105.421493
410	1105.249616
411	1105.073968
412	1104.630728
413	1104.561669
414	1104.511593
415	1104.408045
416	1104.297328
417	1104.11091
418	1103.718305
419	1103.554259
420	1103.409603
421	1103.167924
422	1103.129403
423	1103.027324
424	1102.899273
425	1102.787289
426	1102.710221
427	1102.65426
428	1102.56889
429	1102.441224
430	1102.381352
431	1102.166156
432	1102.075047
433	1102.00689
434	1101.932547
435	1101.83409
436	1101.697279
437	1101.555103
438	1101.415429
439	1101.369207
440	1101.32064
441	1101.227312
442	1101.032802
443	1100.930506
444	1100.724662
445	1100.547924
446	1100.290034
447	1100.159767
448	1100.033045
449	1099.94939
450	1099.843102
451	1099.792686
452	1099.390254
453	1099.291748
454	1099.249857
455	1099.166527
456	1099.064928
457	1098.915558
458	1098.858894
459	1098.78358
460	1098.666059
461	1098.576295
462	1098.499943
463	1098.382742
464	1098.274621
465	1098.186554
466	1098.14874
467	1098.064226
468	1098.015261
469	1097.906799
470	1097.833654
471	1097.741335
