iter	Passed	Remaining
0	235	117691
1	486	121023
2	700	116000
3	924	114629
4	1164	115302
5	1408	115941
6	1660	116932
7	1900	116891
8	2142	116880
9	2363	115826
10	2601	115634
11	2868	116637
12	3143	117752
13	3347	116206
14	3553	114900
15	3758	113707
16	3999	113618
17	4251	113843
18	4474	113268
19	4739	113740
20	5021	114526
21	5316	115506
22	5608	116317
23	5846	115948
24	6087	115657
25	6288	114652
26	6504	113945
27	6721	113310
28	6963	113099
29	7187	112608
30	7384	111726
31	7583	110902
32	7805	110465
33	8038	110178
34	8297	110242
35	8538	110054
36	8831	110516
37	9030	109793
38	9218	108966
39	9408	108194
40	9661	108157
41	9947	108472
42	10183	108234
43	10386	107644
44	10660	107785
45	10873	107315
46	11098	106973
47	11373	107104
48	11583	106614
49	11852	106673
50	12146	106939
51	12409	106909
52	12615	106402
53	12873	106324
54	13121	106162
55	13351	105861
56	13593	105648
57	13818	105308
58	14110	105472
59	14392	105545
60	14613	105166
61	14839	104830
62	15080	104608
63	15374	104738
64	15629	104600
65	15941	104824
66	16139	104305
67	16372	104014
68	16660	104069
69	16907	103862
70	17165	103716
71	17353	103158
72	17582	102843
73	17944	103299
74	18164	102931
75	18450	102934
76	18777	103155
77	18989	102736
78	19212	102387
79	19504	102398
80	19729	102057
81	20085	102385
82	20426	102624
83	20733	102679
84	21072	102882
85	21313	102599
86	21512	102123
87	21723	101704
88	22041	101784
89	22421	102142
90	22637	101746
91	22888	101504
92	23131	101230
93	23341	100813
94	23596	100593
95	23836	100312
96	24040	99879
97	24335	99825
98	24593	99615
99	24826	99306
100	25091	99122
101	25312	98769
102	25552	98489
103	25788	98196
104	26103	98198
105	26295	97740
106	26583	97637
107	26788	97232
108	27112	97257
109	27410	97183
110	27657	96924
111	27944	96806
112	28158	96437
113	28369	96056
114	28571	95652
115	28895	95653
116	29145	95406
117	29376	95100
118	29713	95134
119	29941	94814
120	30136	94395
121	30400	94190
122	30616	93841
123	30901	93701
124	31157	93471
125	31393	93182
126	31668	93010
127	31927	92789
128	32225	92678
129	32512	92535
130	32795	92378
131	33079	92222
132	33357	92047
133	33668	91959
134	33922	91716
135	34194	91521
136	34400	91148
137	34696	91016
138	34899	90638
139	35109	90281
140	35340	89981
141	35596	89743
142	35800	89376
143	36049	89122
144	36278	88818
145	36504	88510
146	36804	88381
147	37041	88099
148	37249	87748
149	37512	87528
150	37714	87167
151	37979	86952
152	38173	86575
153	38410	86298
154	38612	85945
155	38853	85677
156	39062	85341
157	39289	85043
158	39525	84768
159	39856	84695
160	40095	84423
161	40348	84184
162	40614	83970
163	40883	83761
164	41151	83550
165	41487	83473
166	41711	83173
167	41910	82823
168	42163	82580
169	42413	82331
170	42588	81938
171	42808	81634
172	43111	81488
173	43317	81157
174	43624	81017
175	43958	80923
176	44280	80806
177	44498	80497
178	44804	80348
179	45087	80155
180	45313	79861
181	45591	79659
182	45849	79421
183	46099	79170
184	46335	78896
185	46577	78631
186	46847	78413
187	47108	78179
188	47362	77934
189	47562	77601
190	47880	77460
191	48096	77154
192	48372	76944
193	48661	76754
194	48914	76507
195	49236	76367
196	49440	76042
197	49642	75716
198	49921	75509
199	50127	75190
200	50338	74881
201	50616	74671
202	50844	74388
203	51046	74067
204	51285	73800
205	51557	73582
206	51860	73406
207	52135	73190
208	52357	72899
209	52641	72694
210	52960	72538
211	53254	72345
212	53462	72036
213	53725	71801
214	54008	71593
215	54232	71305
216	54455	71017
217	54771	70851
218	55011	70585
219	55284	70361
220	55503	70070
221	55791	69865
222	56104	69690
223	56349	69431
224	56576	69148
225	56843	68916
226	57097	68667
227	57398	68475
228	57651	68225
229	57945	68022
230	58225	67803
231	58437	67505
232	58711	67279
233	58978	67044
234	59200	66757
235	59485	66543
236	59690	66238
237	59988	66038
238	60215	65758
239	60429	65465
240	60699	65232
241	60937	64966
242	61181	64706
243	61454	64477
244	61772	64293
245	61984	64000
246	62274	63786
247	62495	63503
248	62763	63267
249	63020	63020
250	63290	62785
251	63609	62599
252	63833	62319
253	64088	62070
254	64389	61864
255	64677	61645
256	64885	61350
257	65109	61071
258	65309	60770
259	65584	60539
260	65851	60300
261	66073	60021
262	66302	59747
263	66535	59478
264	66720	59167
265	67024	58961
266	67287	58718
267	67500	58433
268	67823	58242
269	68038	57958
270	68310	57723
271	68537	57450
272	68770	57182
273	68996	56909
274	69218	56633
275	69457	56371
276	69827	56214
277	70111	55988
278	70392	55759
279	70580	55456
280	70874	55236
281	71097	54962
282	71320	54687
283	71543	54413
284	71776	54146
285	71967	53849
286	72203	53586
287	72455	53334
288	72656	53046
289	72948	52824
290	73235	52599
291	73487	52346
292	73757	52108
293	74029	51870
294	74298	51630
295	74541	51373
296	74756	51096
297	74990	50832
298	75264	50595
299	75532	50355
300	75722	50062
301	76056	49864
302	76269	49587
303	76486	49313
304	76714	49046
305	76973	48800
306	77219	48545
307	77485	48302
308	77860	48127
309	78056	47841
310	78416	47655
311	78644	47388
312	78841	47103
313	79091	46850
314	79304	46575
315	79545	46317
316	79861	46103
317	80150	45872
318	80382	45608
319	80590	45332
320	80804	45059
321	81083	44822
322	81379	44595
323	81616	44334
324	81839	44067
325	82084	43811
326	82413	43600
327	82632	43331
328	82865	43070
329	83141	42830
330	83327	42545
331	83564	42285
332	83806	42029
333	84019	41758
334	84289	41515
335	84564	41275
336	84830	41031
337	85074	40775
338	85381	40549
339	85651	40306
340	85903	40054
341	86104	39779
342	86318	39510
343	86557	39252
344	86820	39006
345	87062	38750
346	87334	38507
347	87590	38257
348	87814	37994
349	88028	37726
350	88254	37464
351	88519	37218
352	88732	36950
353	88937	36680
354	89179	36425
355	89398	36161
356	89614	35895
357	89928	35670
358	90204	35428
359	90459	35178
360	90686	34917
361	90979	34682
362	91193	34417
363	91505	34189
364	91673	33906
365	91947	33663
366	92193	33410
367	92408	33146
368	92620	32881
369	92876	32632
370	93117	32377
371	93376	32129
372	93666	31891
373	93889	31631
374	94133	31377
375	94433	31143
376	94752	30913
377	95008	30664
378	95226	30402
379	95550	30173
380	95910	29956
381	96255	29733
382	96486	29475
383	96711	29214
384	96937	28955
385	97203	28707
386	97487	28465
387	97745	28215
388	98036	27974
389	98288	27722
390	98609	27489
391	98920	27253
392	99173	27001
393	99403	26743
394	99670	26494
395	99914	26240
396	100218	26001
397	100573	25775
398	100786	25512
399	101007	25251
400	101276	25003
401	101553	24756
402	101807	24504
403	102036	24246
404	102256	23986
405	102469	23724
406	102812	23492
407	103024	23231
408	103286	22980
409	103488	22717
410	103831	22484
411	104085	22231
412	104304	21972
413	104508	21709
414	104729	21450
415	104941	21190
416	105199	20938
417	105494	20695
418	105743	20442
419	105966	20184
420	106260	19939
421	106521	19688
422	106806	19442
423	107046	19187
424	107266	18929
425	107536	18680
426	107784	18426
427	108014	18170
428	108274	17919
429	108648	17687
430	108871	17429
431	109058	17166
432	109296	16911
433	109531	16656
434	109867	16417
435	110180	16173
436	110383	15913
437	110624	15659
438	110873	15406
439	111181	15161
440	111379	14901
441	111619	14646
442	111818	14387
443	112059	14133
444	112317	13881
445	112544	13626
446	112876	13383
447	113135	13131
448	113367	12876
449	113661	12629
450	113936	12378
451	114207	12128
452	114433	11872
453	114687	11620
454	115003	11374
455	115313	11126
456	115623	10879
457	115919	10630
458	116211	10380
459	116526	10132
460	116875	9887
461	117158	9636
462	117436	9384
463	117631	9126
464	117853	8870
465	118111	8617
466	118373	8364
467	118683	8115
468	118948	7862
469	119232	7610
470	119527	7359
471	119789	7106
472	120040	6852
473	120250	6596
474	120492	6341
475	120722	6086
476	120997	5834
477	121272	5581
478	121594	5330
479	121910	5079
480	122118	4823
481	122312	4567
482	122569	4314
483	122881	4062
484	123223	3811
485	123534	3558
486	123812	3305
487	124200	3054
488	124406	2798
489	124714	2545
490	124910	2289
491	125223	2036
492	125512	1782
493	125877	1528
494	126137	1274
495	126380	1019
496	126633	764
497	127022	510
498	127295	255
499	127492	0
