vin,sellingprice
1g6dp567450124779,3592.726127807376
1gtw7fca7e1902207,22447.216179653675
jn8az1mw6dw303497,18988.70898869649
2g1wf5e34d1160703,9158.092164821288
1n6aa0ec3dn301209,20770.234734940987
wvwvd63b93e175638,2272.8643472268473
5npeb4ac4dh809686,12787.846593221593
1fm5k7b97dgb16454,14927.502176989678
jn1cv6ar5bm411441,17735.594911338656
3gnfc16j77g158033,9292.834998427497
2g1wb5e30d1140332,13573.082245532256
jf2sjadc1fh417932,23533.689081289092
1fmcu0f75eue15137,11212.423831344568
jn8az18w29w128991,12627.863662494912
3fadp4ejxcm158293,6629.696707921708
1fahp2e96dg230937,15280.238155525025
knaft4a24b5326931,7111.896291153286
wbaeb5c57ac225968,35116.88044964293
1gndt13sx62216518,5915.444553363303
3gcukrec4eg454516,28032.511714442968
kmhgc4ddxcu168540,17232.183229136604
2gnfleek4c6221421,13152.473336339574
3gnda23d06s523147,5058.153678959931
ja32u1fu0du008397,9882.44182507308
1fbne3bl1eda46070,20518.424593693344
2b8gp54l01r117477,894.9043587199839
1fadp3f28el323070,12316.534424834415
1g3nl52f32c104253,1028.6320305851548
yv4992dz6a2034805,16465.076538045272
1gmdv33l15d274975,2855.1826386576377
3fahp0ha5cr314457,10827.35311031561
kndjp3a5xe7072298,14016.094588744581
jh4cu2f49cc003441,18422.906836219336
1g2zm177284122405,6531.674028286526
1hgcp2f38ba122870,12518.336641136653
1n4aa5ap0bc847988,16467.92756734007
jt2bf28kx10337262,4162.248325170201
2gtek13v961325160,9060.165909322155
1n4aa5ap7ac811245,16252.615696109455
1fadp3k25el151313,12695.274212361704
4t1bf1fk9eu774829,14879.180392362261
waugfafc2en098654,36601.84626322754
3fa6p0hr2dr238002,12360.277636243394
3fahp0ja5cr276738,9509.978965987708
2g1fa1e30d9157807,15555.640345071595
2t3bfrev4dw038526,17564.733066919172
5yfbu4ee8dp189095,11678.515661653159
yv1sz59h741164165,4621.133258408257
1hgcr2f84da020569,18927.79930254929
1c4njcba3fd124498,14919.47339604839
1n4aa51e09c834554,9500.784818366805
1fmfu17525la35873,6011.302633940133
3vw2k7aj6dm209150,9435.216966366961
5j6rm3h7xdl004568,20716.43116698116
waufgafb8an026867,18374.441507335254
3fahp0ha0cr307061,11986.107742720242
1lnhm87a82y644589,991.3011059542309
2hkrl18022h576543,1654.534786047286
2t1burhe2ec210372,17796.841357485104
nm0ge9f77e1151554,21082.40500148002
5xxgr4a66dg133932,18738.531909525667
5j6re48348l033196,8941.300415140422
1gnlvfed5aj252374,12882.357659932663
1ftfw1e69dfd71401,34404.97353017351
kmhdh4ae8du795370,8783.022465728716
1n4al2ap3cn408119,12522.830818255808
waugn74f37n041255,15417.289388389383
5xykt3a63eg479116,16416.37806961557
4t1bf3ek2au532729,9201.039757002265
knafx4a62e5225883,11684.094718707223
jnkcv51e63m329092,3758.6921231546207
jn1by1ar2cm394735,27366.98805592555
1j4fa59s0yp723644,3295.921895928145
1fahp3f28cl166154,8573.348867428873
jtebu4bf2bk113263,22721.723500111017
2c4rc1gg7er180355,27787.006635725404
2hges16374h588764,2636.0693445443435
wddgf81x78f169485,17006.29906343655
2c4rdgcg3er388917,16724.334253246747
1n4al2ap5cn424564,11706.713745976254
1ftfw1et8cfb48321,26296.769416231917
3fa6p0h71er259567,15854.626804908057
1c3cdzab7dn610562,9649.718269993906
1c6rd7ft7cs204333,11826.679617373362
5npeb4ac3ch290449,11482.050859788355
1ftfw1ef3bfc35956,25286.72645456394
jf1znaa10d1719373,17542.483491277242
2c4rdgegxer431226,19259.311906149425
1n4al3ap9ec105740,13322.771293539792
wbxpa73464wc36440,3775.725038387539
yv440mdb2f2610299,29981.9265758547
2c3ccakt9eh306087,24456.367045454554
2d4fv47tx6h156976,2363.39258958634
1fbss3bl5edb01101,21470.496529396507
1ftww31p86ec33609,18027.30868645244
1g6dw677x50225462,3726.372958754209
1ftfw1r69dfb74948,48323.255050505046
1fahp2e82eg107578,19384.63806633181
jn1cv6ek3cm422386,21992.973361592096
3fa6p0h7xdr271747,14080.9301934177
1g6dw677550216409,4913.142242664747
2gkaluek7c6276284,17778.54621582123
4t4be46k09r098027,5995.2638077200545
1ft8w3dt0deb21420,44029.286228956225
knafe122845051705,2575.992649711398
1g1pe5sb9e7114453,13150.358696396193
3c4pddbg6ct222361,9564.643858225116
km8jn72d05u127017,3838.0015151515154
5tfhw5f13cx249936,24632.48490560367
1g1pc5sb7d7144958,7377.442356601733
1gnwkmeg6br194783,19224.139401108154
1g1zd5eb9af288546,7474.269122775372
1j4gw48s44c336467,3832.4074414011907
2melm74w1vx603619,526.469078028453
knafx4a67e5127187,11396.598550986057
2t1br32e14c264462,4616.994087625337
1g1zd5eu9bf201988,6507.053439153439
kndup131046562894,2768.7498376623385
2g1wf5ek1b1281581,5867.026831733085
2t2gk31u77c011844,14408.814663114656
1ftnf1cf8ekd17420,18810.805176998918
waulc68e63a233402,6730.039112507865
jthgl46f875015124,15947.933937590173
5j6rm3h53cl025176,19286.214302826804
1fahp3fnxbw188972,8967.77624042624
wbabd33424jy97817,3678.384488890735
5uxfe83529l170811,21877.327219308467
jtdktud32ed584445,12196.950182687686
1g8aj55f77z187488,3477.7869047619065
2c4rdgcg0cr204451,10527.72093826082
1n4aa5apxec438000,16471.710457251083
19uua9f55ca002462,23278.299568255803
1ftne24w67da44976,4173.244844276093
jn1cv6el0am150112,18220.892348623605
1fahp3n26cl476501,7158.815808497057
jn8af5mv5dt210835,14709.602786796544
1gnsckkc8fr205029,53504.457142625884
wddgf56x08f039121,11338.241382691389
3n1cn7ap6dl876005,8639.284078324461
1n4aa5ap3cc815652,16395.203624153626
3fadp4ej1dm227597,9942.69861481112
2t3bf4dv7bw172688,13816.633457745957
1g11h5sa9df251711,13427.297595177977
3lnhl2jc4ar615582,13964.209287518042
4t1bf32k33u562748,2298.4573357198356
1d7hu18d75s323919,8638.469731194724
1b3cc4fb9an189063,6591.7789435286995
1gndt13s662358557,4119.7581758519245
wddgf4hb5cr239429,20464.314369603708
km8jt3ab7cu401390,11663.595400890774
1gkev23768j263857,11543.634990009987
jthbf5c24c5176380,21974.40246952121
1hgcg165x2a027836,2047.8490336052841
kmhd35le6du156678,13706.16742239242
wbavm1c51dvw41350,24700.993435707813
1c4rjeag7ec144910,25870.751099594825
2d4rn4de8ar496990,7661.81358826359
4t1bf1fk7cu098636,14482.47143301143
wauaf78e26a046795,2540.5536401098902
1gkdt13s122106237,1810.421550787175
1n4ba41e66c829787,3132.724229011729
4t3zk3bb8au024609,16444.128686359953
1fm5k8d83dgb86317,26848.824994450013
1n6ad0ev4ac404087,15298.572946960441
2c3ccabg4eh261658,24121.710286472797
1fafp552x3a196871,658.508368830244
1gnscbkcxfr160773,38933.02654798903
kmhct5ae1du137471,10313.333534752279
2hges16543h601504,1888.3448938792692
wba3b5g51fns15840,38448.74573412699
3c4pdddg8dt615227,11832.749818144826
jthce1blxd5001563,29614.544122544143
1j8gl58k85w613103,2875.494660200911
3fahp0gaxcr304900,8789.815573315573
1ftnf1cf0ekd48113,17439.8082797649
1fahp2f83eg183230,19204.277554852542
1g1jc6shxd4189457,8031.029730334484
1fmzu73k53uc18137,1226.1424548830803
1fmcu0h92dud56139,17462.922819310323
jm3ke2cy8f0434836,19059.860573454327
1g1zf57579f254408,7733.428034003031
jthbk262982063524,11374.242845117848
3n1bc1cp1al391729,3604.3169672919703
4t1be46k47u032443,6624.076594701591
jn1cv6ap9dm713252,23124.494932613674
jtlkt334264049092,2454.785166685168
4jgdf7ce4da223492,43363.81471832333
wp0ab2a90ds123041,79991.34781931032
2g1wf5e37d1220344,9170.11939267215
1c3cdfbaxdd268356,12198.537033799523
1j4rr4gg4bc555195,17653.648073454322
1gyek63n92r200314,2292.8308765795596
5j6rm4h55cl021118,15506.662914428152
jm1bl1uf3b1390089,8347.76895749158
1nxbu4ee9az306581,8295.783621008623
3ln6l2gk8er825498,28226.78570503572
kmhcn46cx9u341270,2739.9576266326303
1fmjk1h5xbef34161,25905.649012959246
jm1gj1v66e1162487,18444.622804279057
1fafp55s53g166741,1562.2637956950468
jhlre4h47bc035761,15002.748154623148
1hgcg56702a023996,2549.060052910051
3vwrt71k66m746558,3546.126445545194
5tfdw5f17cx249548,23083.860831529586
2c4rdgcg8er253237,16570.238275613265
19uua56883a074677,2806.285050366301
2lmdu68cx8bj05646,15564.299357818105
5n1ar18u67c626356,5312.3186857124365
1ftne2ew8eda20173,22652.109319384308
1fahp3gn9bw184524,7548.808975283977
19xfb2f5xee243381,8187.9797679172625
1gtw7fca5e1905770,20445.206438468947
1zvht85h455209305,10558.182699938956
1fafp55u11a128859,1552.368010114884
jthbe1bl6d5001460,31226.83866365116
jm3er2bm7b0405127,13902.477075702083
2c3cdxct1eh315591,22927.664715839714
5xxgn4a7xcg039135,14010.130140692636
1g2zg57bx94117540,2431.20691993192
3n1ab6ap9al644813,6564.042327348579
jtjbt20x930014425,8883.189903614908
1g6dt57v780164982,11994.62262205387
2fmdk3kc4eba30799,20332.170839447583
2c4rdgbg9dr616368,8994.26174265549
1ft8w3bt5cea27096,33775.79593346469
jthbe96s070016618,12237.482135457141
jtmbk33v085063691,10836.410385216643
3lnhm28t28r660744,6764.944011544012
jtmbd31v275093545,8583.765168396412
1gtek19z26z254627,10277.135960798472
jtebu5jr0a5028050,25234.62083055834
4t1be46k07u044069,5475.721165639916
5xxgm4a7xeg282238,14683.612253949754
5npdh4ae4eh505402,13374.051488095234
wdbrf40j63f382931,5523.061970899472
5tfhy5f11dx308848,38153.73169677543
1n4aa5ap9bc866393,14054.958067858068
1j4gz78yxwc163618,632.6544975857477
2t3bf4dv6bw173640,14973.921495402747
1n4al3ap6dn429862,14455.983074795573
1c3cdzab4cn136021,9758.94408098845
1fmcu0dg1ckc48030,8629.368450530952
jn8ae2kp0d9068333,16119.620941960811
1mefm50ux2g620409,1543.3779504060753
1fmyu031x5ka88199,2685.5478403540897
5npet46c59h535167,5282.45645373145
jn8cs1mw4dm173129,32573.019334138047
1fmcu0gx4eub81474,17826.90018338143
jtdkn3du5d1615796,15149.838577478075
1fm5k8d89dga37233,26357.584283771786
1ftpx14555na08675,3770.2720640470625
1fmhk8d85cga18738,22010.057804343804
wddng71x07a121188,13890.59177489179
1b3hb48b37d201969,3719.55862193362
2hgfa16519h369184,4872.7110130610145
1gys4kef6br346956,36675.907479557514
1b3cb4ha4ad603024,5137.443514124767
2fmza52256ba56681,2739.2129707098447
1n4aa5ap8ec486577,13653.597767510273
2g1wg5e33d1191129,10523.780906676653
2fmdk4jc7dbb48738,22135.5196634384
jn8az1mw3bw182053,14263.920770202007
knafk4a67e5154467,11459.559790672294
wddgf4hb8ea930911,23900.01564754691
19uua8f20ca020058,18568.75173183298
jn8as5mv1cw705624,15246.044134800393
1g1jc6sg3d4231703,9507.492605829348
knaft4a25a5242857,6307.842643698889
wdbtk76g84t024831,2548.912924112923
wba3a5c55cf345182,28421.126444620204
1c4bjweg5dl655483,30303.266476810226
1gcec29029z162071,13826.23766349392
1c4pjmak6cw120986,10072.845725339472
1fmpu15576lb00788,3998.210734404483
2gnfleek5c6358786,14641.801319083686
2c4rc1cg3er180357,23680.842827080316
2b3ka43r58h326800,2966.408689227439
1g2zg558964261180,2839.104507876384
wmwmf73518tt88928,7825.267279942276
kmhhn65f76u206174,3623.1950015262505
2d4gv58205h591407,3450.425034456282
1n4al11d96n405049,2638.0445091945094
jf1znaa18d2731233,18787.98303872055
2hgfg1b99ah500776,8595.996796259296
2t2bk1ba3cc153153,27265.04992114368
1ftne2ewxeda19977,19809.15606060607
jn8az1mw8dw313688,16582.89947988122
1gbhg39c591143468,4899.658738483739
wmeej3ba0ck553414,5429.988547101046
5j6yh18798l015149,7655.909027546526
2d4rn5dg4br721026,7408.71892505643
1j4gx48s24c385874,6441.190905622151
wbapt735x8cx00895,10575.046661209157
1fbss31l53ha60766,6690.6272419709885
2fmhk6c85dbd11442,17667.66050127188
5tftx4gn8dx024805,17686.31928876217
wauhfaflxcn010306,19764.279839604846
kmhgc4dd2du221586,18088.029734617237
2c3ja53g25h678246,3624.2561179561167
1ftyr14u0wta78359,1874.8199673012175
jn1cv6ekxdm923406,25437.056861656878
2fmdk4kc4cba79827,21838.943056711807
1yvhp81a695m35040,6294.271277218149
salmf13496a235125,14648.661895511905
kmhfh4jgxda233076,14680.012448893702
3fa6p0k99er301400,14772.244535557038
2gnaldek6c1277684,12256.650651431892
4jgcb65e67a056765,7173.014093314093
5j6rm4h33dl071421,17109.589348845602
4a32b3ff9ce023054,9308.578953518705
1gcrkpea0cz276898,12864.603093915346
2a4gp54lx6r781680,2797.9859913234905
5fnrl5h60cb073055,15161.445828763843
1fm5k8d88ega09800,26354.981952306953
1gtw7fca0e1906082,20215.049718337224
1gkek63ux4j159713,5406.332242063491
ja3au86u78u008441,4067.133596727348
1g8al55f66z160145,1111.7314701502203
wbaet37465nj89798,10975.12826849076
1g1ak15f177200574,4583.259289784288
1n4al3apxdn440136,15977.933783808781
3d7mx48c36g247655,8763.634116346611
jthkd5bh7c2055355,19341.768473424723
1fm5k8f85fga04570,27802.966289497574
wdbsk75f43f060145,13911.90067525068
1n4aa5ap8ac816289,9096.024137159138
2fmdk4kcxdbb95356,18052.03481818644
5yfbu4ee5dp087012,10691.80909063159
2g4ws52j131114990,978.0231092466901
1c4rjfcg7cc103273,16552.711337736353
jthbf5c29d5187781,24518.998120906857
2t1bu4ee8cc800628,9758.458601111839
2c4rdgeg2er179133,18991.451232101215
jn8as5mtxew603465,11558.73088517963
5j6re4h71bl067297,16631.852721121482
3fahp0ha3cr291860,9275.665859039113
4jgbf7be5ca781293,29117.210159932656
3g5da03l07s562513,3508.245014360638
1n4bl11d96c251104,4553.234087902838
jthbf5c25c2102810,22793.63598669848
jm1cw2bl8d0149065,12809.481095423089
3tmlu4en7em150625,29655.593760175027
3vwsf71k36m629545,2648.599258843009
wbafu7c58cdu58748,30396.46273911737
3vwbx7aj5bm108602,10516.691170634918
5npdh4ae0fh571222,12308.180336099074
1n4al3ap8en260008,14976.766402116396
1g6ky54911u182876,929.2173138204383
