vin,sellingprice
1g6dp567450124779,4611.224770282559
1gtw7fca7e1902207,21986.803178295704
jn8az1mw6dw303497,18830.156315415486
2g1wf5e34d1160703,8580.627167831311
1n6aa0ec3dn301209,20996.33824212697
wvwvd63b93e175638,2612.003789931274
5npeb4ac4dh809686,12845.710875879784
1fm5k7b97dgb16454,14986.014255713464
jn1cv6ar5bm411441,17352.22967255325
3gnfc16j77g158033,8659.805685116753
2g1wb5e30d1140332,13234.783755231705
jf2sjadc1fh417932,23473.588610335777
1fmcu0f75eue15137,8251.1399354094
jn8az18w29w128991,11973.93285874041
3fadp4ejxcm158293,5061.962169375972
1fahp2e96dg230937,15201.870252806326
knaft4a24b5326931,5098.994103062004
wbaeb5c57ac225968,33916.73871101865
1gndt13sx62216518,5485.881490122528
3gcukrec4eg454516,27141.338167155067
kmhgc4ddxcu168540,16498.6675186119
2gnfleek4c6221421,12650.004556537378
3gnda23d06s523147,6161.472093354553
ja32u1fu0du008397,8733.283643740619
1fbne3bl1eda46070,19850.90397134463
2b8gp54l01r117477,514.5817881114654
1fadp3f28el323070,12357.533019101702
1g3nl52f32c104253,1485.3271505903758
yv4992dz6a2034805,12137.5103337933
1gmdv33l15d274975,3993.142531776849
3fahp0ha5cr314457,10865.524297878668
kndjp3a5xe7072298,14394.679178947641
jh4cu2f49cc003441,18109.75246456275
1g2zm177284122405,9909.040551626573
1hgcp2f38ba122870,12317.767976450119
1n4aa5ap0bc847988,17062.33102850888
jt2bf28kx10337262,3019.4236288663087
2gtek13v961325160,8572.801279461442
1n4aa5ap7ac811245,15224.549361241385
1fadp3k25el151313,12272.03151026917
4t1bf1fk9eu774829,14736.39782693902
waugfafc2en098654,38624.94076225447
3fa6p0hr2dr238002,11733.704886002037
3fahp0ja5cr276738,9819.552662797389
2g1fa1e30d9157807,15672.843869618031
2t3bfrev4dw038526,17049.604161996245
5yfbu4ee8dp189095,12115.56641743261
yv1sz59h741164165,3165.7036948620207
1hgcr2f84da020569,16292.493507961422
1c4njcba3fd124498,15825.007030413479
1n4aa51e09c834554,9866.575721037652
1fmfu17525la35873,6887.508059116452
3vw2k7aj6dm209150,9729.37429913793
5j6rm3h7xdl004568,20375.426697127274
waufgafb8an026867,19648.192649567565
3fahp0ha0cr307061,12798.479063010362
1lnhm87a82y644589,1068.8530422688982
2hkrl18022h576543,1421.952552365925
2t1burhe2ec210372,14105.694253371697
nm0ge9f77e1151554,21730.9202243885
5xxgr4a66dg133932,19944.027603522503
5j6re48348l033196,8059.163186963411
1gnlvfed5aj252374,12667.34726809412
1ftfw1e69dfd71401,34606.67678164227
kmhdh4ae8du795370,9034.542901583734
1n4al2ap3cn408119,12483.239654717801
waugn74f37n041255,14119.41809595157
5xykt3a63eg479116,15907.940989347295
4t1bf3ek2au532729,9111.15233463711
knafx4a62e5225883,11259.616921536182
jnkcv51e63m329092,3506.8692018848724
jn1by1ar2cm394735,26141.472431523653
1j4fa59s0yp723644,2563.6527558945218
1fahp3f28cl166154,8134.384369633379
jtebu4bf2bk113263,24804.8562845607
2c4rc1gg7er180355,23367.283549744476
2hges16374h588764,2487.506497710583
wddgf81x78f169485,15898.372259694952
2c4rdgcg3er388917,16192.1627908584
1n4al2ap5cn424564,11142.316093736788
1ftfw1et8cfb48321,25600.510791000852
3fa6p0h71er259567,15600.688286333363
1c3cdzab7dn610562,9976.401889299708
1c6rd7ft7cs204333,13607.415348088773
5npeb4ac3ch290449,12412.20021241914
1ftfw1ef3bfc35956,25293.275449262397
jf1znaa10d1719373,17859.203102481042
2c4rdgegxer431226,19754.35185896344
1n4al3ap9ec105740,13088.605753591175
wbxpa73464wc36440,3305.0688633570553
yv440mdb2f2610299,31277.855066292537
2c3ccakt9eh306087,24717.33821395796
2d4fv47tx6h156976,2513.2774248436617
1fbss3bl5edb01101,21427.28045452474
1ftww31p86ec33609,15527.97672791791
1g6dw677x50225462,4388.361078037442
1ftfw1r69dfb74948,47006.27399425143
1fahp2e82eg107578,19086.796714099542
jn1cv6ek3cm422386,22019.633680661715
3fa6p0h7xdr271747,13154.816474918025
1g6dw677550216409,4433.676128118416
2gkaluek7c6276284,18303.35933273291
4t4be46k09r098027,4974.0142122154
1ft8w3dt0deb21420,45108.11987495748
knafe122845051705,2108.8380160135184
1g1pe5sb9e7114453,12809.159218818342
3c4pddbg6ct222361,8038.681902090859
km8jn72d05u127017,4667.302246679016
5tfhw5f13cx249936,24426.01959401789
1g1pc5sb7d7144958,6668.304834995405
1gnwkmeg6br194783,22485.2469745332
1g1zd5eb9af288546,7063.666404021177
1j4gw48s44c336467,4156.2553985741115
2melm74w1vx603619,222.82586158631966
knafx4a67e5127187,11158.527810755866
2t1br32e14c264462,4338.711971365599
1g1zd5eu9bf201988,6761.318040304107
kndup131046562894,1761.4632025879728
2g1wf5ek1b1281581,5109.935597920049
2t2gk31u77c011844,12974.122759056334
1ftnf1cf8ekd17420,18291.305781496147
waulc68e63a233402,6027.694629273608
jthgl46f875015124,17165.122168217185
5j6rm3h53cl025176,17979.73886785972
1fahp3fnxbw188972,8355.77904184972
wbabd33424jy97817,5107.821797000642
5uxfe83529l170811,22844.954116470595
jtdktud32ed584445,11685.215671855063
1g8aj55f77z187488,3952.478852110491
2c4rdgcg0cr204451,10796.416835619231
1n4aa5apxec438000,17042.274133371182
19uua9f55ca002462,21259.878369941274
1ftne24w67da44976,3348.0222072502183
jn1cv6el0am150112,16108.115683200587
1fahp3n26cl476501,8940.932326055809
jn8af5mv5dt210835,14784.881858904315
1gnsckkc8fr205029,50194.44730952899
wddgf56x08f039121,11777.83021899288
3n1cn7ap6dl876005,8698.779636338239
1n4aa5ap3cc815652,15235.626425588505
3fadp4ej1dm227597,10300.799465738839
2t3bf4dv7bw172688,13624.66427622777
1g11h5sa9df251711,13422.881374688459
3lnhl2jc4ar615582,10912.789682269835
4t1bf32k33u562748,2227.777766513511
1d7hu18d75s323919,9066.196855232316
1b3cc4fb9an189063,6066.205909485565
1gndt13s662358557,3700.8349072754645
wddgf4hb5cr239429,19891.950831465016
km8jt3ab7cu401390,11242.563306408243
1gkev23768j263857,10750.96682074594
jthbf5c24c5176380,21987.565290160408
1hgcg165x2a027836,1925.816995052557
kmhd35le6du156678,13420.157028669428
wbavm1c51dvw41350,25971.85233734909
1c4rjeag7ec144910,25652.050441933676
2d4rn4de8ar496990,6457.558358427064
4t1bf1fk7cu098636,13553.053445602283
wauaf78e26a046795,3056.341002943722
1gkdt13s122106237,1255.5486661481336
1n4ba41e66c829787,4404.321570970347
4t3zk3bb8au024609,16223.112575025552
1fm5k8d83dgb86317,27486.719327907114
1n6ad0ev4ac404087,15215.564573670406
2c3ccabg4eh261658,23679.303572057666
1fafp552x3a196871,470.9948220350889
1gnscbkcxfr160773,39911.54882881095
kmhct5ae1du137471,10734.985248880737
2hges16543h601504,2238.614133885325
wba3b5g51fns15840,35349.8300973464
3c4pdddg8dt615227,13286.58557477561
jthce1blxd5001563,28846.713418902887
1j8gl58k85w613103,3019.561818086924
3fahp0gaxcr304900,8732.573420442146
1ftnf1cf0ekd48113,18506.130115616907
1fahp2f83eg183230,18116.48432816513
1g1jc6shxd4189457,8219.153313611587
1fmzu73k53uc18137,1613.5386485020663
1fmcu0h92dud56139,17622.936641812652
jm3ke2cy8f0434836,18908.671478409055
1g1zf57579f254408,6318.291560884069
jthbk262982063524,11853.009423370107
3n1bc1cp1al391729,2738.913241172211
4t1be46k47u032443,7217.585158176683
jn1cv6ap9dm713252,22574.14609444885
jtlkt334264049092,1817.6510012658218
4jgdf7ce4da223492,40356.11447130768
wp0ab2a90ds123041,94963.56843916827
2g1wf5e37d1220344,9079.612239661878
1c3cdfbaxdd268356,11981.587047363826
1j4rr4gg4bc555195,16844.066274023957
1gyek63n92r200314,1576.4019093311454
5j6rm4h55cl021118,15539.609054620863
jm1bl1uf3b1390089,7238.757365289758
1nxbu4ee9az306581,9208.497059428402
3ln6l2gk8er825498,28397.819966028983
kmhcn46cx9u341270,2730.2802696181716
1fmjk1h5xbef34161,24307.955714822543
jm1gj1v66e1162487,18717.011325410844
1fafp55s53g166741,2338.204172220261
jhlre4h47bc035761,15767.888549375948
1hgcg56702a023996,2505.6563627065225
